                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9683,                 3.8144,                 4.1144,                0.00292,                   0.56,                0.00564,                 0.0011,                 2.8058,                 3.9196,                 3.9268,               0.070231,              0.0033077,              0.0033077
                      1,                  2.987,                 3.6486,                 3.8159,                0.10568,                   0.12,                0.08047,                0.02079,                 2.8577,                 4.2739,                 3.5644,               0.039573,              0.0059836,              0.0059836
                      2,                 2.8997,                 3.3403,                 3.4626,                0.28141,                   0.04,                0.02822,                0.00857,                 2.8331,                 3.4858,                 3.4845,              0.0082558,              0.0079994,              0.0079994
                      3,                 2.6696,                 3.1492,                 3.2259,                0.17964,                0.17557,                0.05654,                0.01908,                 2.4219,                 3.8246,                 3.2679,                0.00703,                0.00703,                0.00703
                      4,                 2.4169,                 2.9913,                   3.02,                0.37893,                   0.24,                0.21873,                 0.0481,                 2.4296,                 3.4345,                 3.0983,                0.00703,                0.00703,                0.00703
                      5,                 2.2985,                 2.7938,                  2.884,                0.30192,                   0.36,                0.26309,                0.09326,                 2.2724,                 2.9992,                 2.9317,                0.00604,                0.00604,                0.00604
                      6,                 2.1571,                 2.6242,                 2.7479,                 0.4846,                   0.24,                0.25547,                0.08096,                 2.2507,                 2.9392,                 3.0008,                0.00505,                0.00505,                0.00505
                      7,                 2.0658,                 2.4788,                 2.6327,                0.44716,                   0.52,                0.38982,                0.13158,                 2.1882,                 2.7615,                 2.8599,                0.00406,                0.00406,                0.00406
                      8,                 2.0077,                 2.3363,                 2.5682,                0.55808,                    0.4,                0.42906,                0.13644,                 2.2038,                 2.7789,                 2.8891,                0.00307,                0.00307,                0.00307
                      9,                 1.9311,                 2.2637,                 2.4994,                0.55698,                0.35243,                0.43841,                0.17843,                 2.0488,                 2.6119,                 2.7105,                0.00208,                0.00208,                0.00208
